transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,Profit
37,14,1040,2017-01-09,0.0,Approved,Solex,Standard,high,large,1842.92,1105.75,34996.0,737.1700000000001
38,2,2916,2017-12-06,0.0,Approved,Solex,Standard,medium,medium,71.49,53.62,33549.0,17.869999999999997
39,12,427,2017-09-12,0.0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,38693.0,1069.5500000000002
40,0,2448,2017-11-28,1.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,38647.0,167.20999999999998
41,44,2570,2017-05-08,1.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,37668.0,1660.88
42,79,3398,2017-05-14,0.0,Approved,Solex,Touring,medium,large,2083.94,675.03,41533.0,1408.91
43,76,488,2017-03-17,0.0,Cancelled,WeareA2B,Standard,low,medium,642.31,513.85,41922.0,128.45999999999992
44,46,165,2017-12-22,0.0,Approved,Solex,Standard,low,medium,1289.85,74.51,37668.0,1215.34
45,55,2787,2017-06-07,1.0,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,42172.0,1295.43
46,66,3053,2017-06-20,0.0,Approved,Solex,Standard,medium,medium,1163.89,589.27,42560.0,574.6200000000001
47,35,475,2017-05-07,1.0,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,34527.0,903.11
48,81,1305,2017-06-10,1.0,Approved,Solex,Standard,medium,medium,1151.96,649.49,41009.0,502.47
49,86,1251,2017-06-17,0.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,38206.0,110.56
50,32,3103,2017-05-10,0.0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,37337.0,431.33000000000004
51,77,3108,2017-03-24,0.0,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,40553.0,445.2099999999999
52,96,857,2017-11-27,0.0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,39427.0,641.64
53,6,3455,2017-12-21,1.0,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,33549.0,91.15
54,27,2549,2017-02-09,1.0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,34527.0,110.80999999999995
55,0,3140,2017-09-18,0.0,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,38482.0,72.59999999999997
56,47,3406,2017-11-14,0.0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,35470.0,189.27999999999997
57,94,2294,2017-08-30,1.0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,41434.0,641.64
58,91,1031,2017-11-14,0.0,Approved,Solex,Standard,medium,medium,100.35,75.26,36367.0,25.08999999999999
59,93,993,2017-02-15,1.0,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,38750.0,583.2700000000001
60,60,3473,2017-12-18,0.0,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,41848.0,217.51
61,0,1839,2017-02-24,0.0,Approved,OHM Cycles,Road,high,large,12.01,7.21,34244.0,4.8
62,33,1824,2017-12-18,1.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,33888.0,144.26
63,35,368,2017-12-17,0.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,42688.0,448.67999999999995
64,0,2000,2017-07-08,0.0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,39031.0,110.80999999999995
65,28,825,2017-05-16,1.0,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,42696.0,133.7800000000002
66,86,3315,2017-02-23,1.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,36367.0,110.56
67,2,75,2017-07-03,1.0,Approved,Solex,Standard,medium,medium,71.49,53.62,41245.0,17.869999999999997
68,4,1498,2017-09-30,1.0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,38258.0,451.6500000000001
69,38,1612,2017-10-21,1.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,41167.0,1702.5499999999997
70,27,2192,2017-05-06,1.0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,36334.0,110.80999999999995
71,54,419,2017-01-03,0.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,39915.0,1279.3999999999999
72,77,3307,2017-05-09,1.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,40672.0,1660.88
73,22,2430,2017-07-23,0.0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,34165.0,15.080000000000005
74,56,1506,2017-01-21,1.0,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,35707.0,45.96000000000001
75,58,1346,2017-06-20,0.0,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4,42295.0,771.12
76,22,927,2017-03-10,0.0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,33552.0,15.080000000000005
77,50,763,2017-06-02,0.0,Approved,WeareA2B,Standard,medium,small,175.89,131.92,37668.0,43.97
78,80,2397,2017-11-07,0.0,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,36145.0,139.2299999999999
79,87,102,2017-09-12,1.0,Approved,Giant Bicycles,Standard,high,medium,1179.0,707.4,35667.0,471.6
80,15,2884,2017-12-16,0.0,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,38693.0,209.84000000000003
81,84,759,2017-10-07,1.0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,33879.0,198.22000000000003
82,21,773,2017-04-27,1.0,Approved,Solex,Standard,medium,large,1071.23,380.74,40670.0,690.49
83,0,3398,2017-04-01,1.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,37626.0,110.56
84,33,3297,2017-11-02,1.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,33888.0,144.26
85,84,2434,2017-02-13,1.0,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,38339.0,75.48000000000002
86,1,1861,2017-07-19,0.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,38258.0,448.67999999999995
87,27,1233,2017-05-23,0.0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,33455.0,110.80999999999995
88,31,1390,2017-08-06,0.0,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,34079.0,547.28
89,0,2682,2017-04-04,1.0,Approved,OHM Cycles,Road,high,large,12.01,7.21,40303.0,4.8
90,62,439,2017-08-15,1.0,Approved,Solex,Standard,medium,medium,478.16,298.72,34143.0,179.44
91,17,1579,2017-04-15,1.0,Approved,Solex,Standard,high,medium,1024.66,614.8,35160.0,409.8600000000001
92,73,2984,2017-07-25,1.0,Approved,Solex,Standard,medium,medium,1945.43,333.18,36668.0,1612.25
93,33,3470,2017-11-28,1.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,36498.0,144.26
94,86,1,2017-12-23,0.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,38482.0,110.56
95,45,757,2017-02-26,0.0,Approved,Solex,Standard,medium,medium,441.49,84.99,34071.0,356.5
96,1,1778,2017-02-21,0.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,40649.0,448.67999999999995
97,80,211,2017-05-31,1.0,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,38339.0,139.2299999999999
98,49,333,2017-06-23,1.0,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13,37823.0,133.38
99,95,32,2017-03-26,0.0,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43,37874.0,41.129999999999995
100,0,119,2017-07-31,0.0,Approved,Solex,Standard,medium,medium,478.16,298.72,36146.0,179.44
101,18,2347,2017-07-27,0.0,Approved,Norco Bicycles,Standard,high,medium,1148.64,689.18,42226.0,459.46000000000015
102,4,2353,2017-04-14,0.0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,40649.0,451.6500000000001
103,33,788,2017-11-12,0.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,33888.0,144.26
104,78,1468,2017-09-12,0.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,38193.0,1055.82
105,89,821,2017-10-26,0.0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,41434.0,1305.25
106,70,2489,2017-02-15,0.0,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,42105.0,198.29000000000002
107,79,2710,2017-12-22,0.0,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01,37873.0,737.5699999999999
108,26,947,2017-10-11,1.0,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,34115.0,1230.3000000000002
109,39,1335,2017-03-27,1.0,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,38991.0,1230.27
110,36,1076,2017-11-04,0.0,Approved,Solex,Standard,low,medium,945.04,507.58,35052.0,437.46
111,0,3320,2017-06-11,1.0,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,42172.0,14.229999999999997
112,84,779,2017-10-09,0.0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,33879.0,198.22000000000003
113,98,3296,2017-06-07,1.0,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,33364.0,143.35999999999999
114,75,455,2017-10-24,1.0,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95,37873.0,1010.02
115,76,1779,2017-05-01,0.0,Approved,WeareA2B,Standard,low,medium,642.31,513.85,38482.0,128.45999999999992
116,72,2703,2017-11-21,1.0,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,40553.0,90.09999999999997
117,42,806,2017-03-24,0.0,Approved,OHM Cycles,Road,medium,small,1810.0,1610.9,34071.0,199.0999999999999
118,20,22,2017-03-21,0.0,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47,40303.0,195.33999999999992
119,64,1591,2017-02-20,0.0,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,38647.0,872.8900000000001
120,0,678,2017-06-16,0.0,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,42105.0,198.29000000000002
121,25,50,2017-12-04,0.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,33888.0,709.34
122,24,1038,2017-12-01,1.0,Approved,Solex,Road,medium,large,1777.8,820.78,34115.0,957.02
123,31,1453,2017-03-05,1.0,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,42218.0,547.28
124,98,1339,2017-03-21,0.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,35470.0,693.76
125,22,3382,2017-01-03,1.0,Approved,Solex,Standard,medium,medium,575.27,431.45,41345.0,143.82
126,53,773,2017-04-01,0.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,37823.0,693.76
127,84,2503,2017-03-16,1.0,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,38482.0,75.48000000000002
128,25,1057,2017-02-26,0.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,42404.0,709.34
129,50,1397,2017-06-05,0.0,Approved,WeareA2B,Standard,medium,small,175.89,131.92,42295.0,43.97
130,44,2134,2017-09-04,0.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,40672.0,1660.88
131,96,2403,2017-01-18,1.0,Approved,WeareA2B,Road,low,small,1172.78,1043.77,37539.0,129.01
132,12,1937,2017-09-28,0.0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,38216.0,1069.5500000000002
133,93,1282,2017-09-02,1.0,Approved,WeareA2B,Standard,medium,medium,1065.03,230.09,37539.0,834.9399999999999
134,78,2183,2017-05-09,0.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,33429.0,1055.82
135,84,1788,2017-10-17,0.0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,38859.0,198.22000000000003
136,65,1170,2017-04-25,1.0,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,42105.0,1028.76
138,29,1940,2017-08-02,0.0,Approved,WeareA2B,Standard,medium,medium,1065.03,230.09,36833.0,834.9399999999999
139,32,2073,2017-03-25,0.0,Cancelled,Giant Bicycles,Standard,high,medium,1179.0,707.4,36833.0,471.6
140,11,462,2017-01-01,0.0,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,42560.0,509.97
141,10,2728,2017-12-22,0.0,Approved,Solex,Standard,medium,medium,1945.43,333.18,37499.0,1612.25
142,46,2053,2017-12-25,0.0,Approved,Solex,Standard,low,medium,1289.85,74.51,41064.0,1215.34
143,60,2135,2017-01-26,1.0,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,41047.0,217.51
144,92,1217,2017-12-20,0.0,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,33259.0,1630.25
145,7,2992,2017-06-07,1.0,Approved,Trek Bicycles,Road,low,medium,980.37,234.43,38693.0,745.94
146,41,3261,2017-04-06,1.0,Approved,Solex,Road,medium,medium,416.98,312.74,35560.0,104.24000000000001
147,67,2748,2017-04-25,1.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,38647.0,167.20999999999998
148,14,3262,2017-01-13,0.0,Approved,Trek Bicycles,Standard,medium,small,1386.84,1234.29,37838.0,152.54999999999995
149,89,788,2017-03-21,0.0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,34079.0,1305.25
150,9,3067,2017-11-21,1.0,Approved,OHM Cycles,Road,medium,medium,742.54,667.4,34586.0,75.13999999999999
151,31,701,2017-11-11,0.0,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,37698.0,57.72999999999999
152,92,648,2017-10-16,0.0,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,36833.0,155.6500000000001
153,37,3286,2017-08-19,1.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,36361.0,1544.6100000000001
154,3,3383,2017-04-06,1.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,40784.0,1702.5499999999997
155,56,982,2017-11-04,1.0,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,42404.0,75.75
156,14,676,2017-08-22,1.0,Approved,Solex,Standard,high,large,1842.92,1105.75,37873.0,737.1700000000001
157,6,385,2017-09-15,1.0,Approved,Solex,Standard,high,medium,748.17,448.9,42105.0,299.27
158,50,1229,2017-03-01,1.0,Approved,WeareA2B,Standard,medium,small,175.89,131.92,39915.0,43.97
159,10,3232,2017-08-16,0.0,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,41345.0,1103.43
161,69,2381,2017-07-10,0.0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,42105.0,198.22000000000003
162,78,371,2017-12-11,0.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,38193.0,1055.82
163,80,2519,2017-05-20,1.0,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,42226.0,139.2299999999999
164,17,2264,2017-07-30,0.0,Approved,Solex,Standard,high,medium,1024.66,614.8,35378.0,409.8600000000001
165,3,2637,2017-10-25,1.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,38573.0,1702.5499999999997
166,78,3262,2017-11-27,0.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,38193.0,1055.82
167,90,3177,2017-04-26,1.0,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,38482.0,72.59999999999997
168,87,2267,2017-02-02,0.0,Approved,Giant Bicycles,Standard,high,medium,1179.0,707.4,35667.0,471.6
169,97,456,2017-05-02,0.0,Approved,Solex,Standard,medium,large,202.62,151.96,38002.0,50.66
170,6,404,2017-10-16,1.0,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,37838.0,91.15
171,100,3121,2017-10-22,0.0,Approved,Norco Bicycles,Road,medium,medium,1036.59,206.35,33364.0,830.2399999999999
172,55,2365,2017-04-11,1.0,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,33259.0,1295.43
173,100,2528,2017-11-16,0.0,Approved,Norco Bicycles,Road,medium,medium,1036.59,206.35,33364.0,830.2399999999999
174,10,3151,2017-12-17,0.0,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,34586.0,1103.43
175,25,3241,2017-12-23,0.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,42696.0,709.34
176,74,1335,2017-03-30,1.0,Approved,WeareA2B,Standard,medium,medium,1228.07,400.91,37873.0,827.1599999999999
177,90,2234,2017-04-13,0.0,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,38482.0,72.59999999999997
178,56,3226,2017-07-25,1.0,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,35707.0,45.96000000000001
179,62,1365,2017-01-31,0.0,Approved,Solex,Standard,medium,medium,478.16,298.72,34143.0,179.44
180,20,3349,2017-03-18,1.0,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47,40303.0,195.33999999999992
181,17,1002,2017-02-24,0.0,Approved,Solex,Standard,high,medium,1024.66,614.8,40670.0,409.8600000000001
182,16,2282,2017-02-18,0.0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,41345.0,182.81000000000017
183,46,2656,2017-01-07,0.0,Approved,Solex,Standard,low,medium,1289.85,74.51,41064.0,1215.34
184,71,2409,2017-07-05,1.0,Approved,Solex,Standard,high,large,1842.92,1105.75,34996.0,737.1700000000001
185,91,1711,2017-11-19,0.0,Approved,WeareA2B,Standard,low,medium,642.31,513.85,38193.0,128.45999999999992
186,17,2582,2017-11-08,1.0,Approved,Solex,Standard,high,medium,1024.66,614.8,35378.0,409.8600000000001
187,1,1005,2017-07-24,1.0,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95,37873.0,1010.02
188,3,1597,2017-01-15,1.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,41167.0,1702.5499999999997
189,56,2713,2017-01-12,1.0,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,34143.0,45.96000000000001
190,37,1435,2017-11-27,1.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,40672.0,1544.6100000000001
191,34,1477,2017-06-30,1.0,Approved,Norco Bicycles,Road,high,large,774.53,464.72,39526.0,309.80999999999995
192,0,1614,2017-07-15,1.0,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,39031.0,57.72999999999999
193,12,1254,2017-06-22,1.0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,39880.0,1069.5500000000002
194,25,1423,2017-05-02,0.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,40553.0,709.34
195,81,276,2017-12-27,0.0,Approved,Norco Bicycles,Standard,medium,small,586.45,521.94,33429.0,64.50999999999999
196,19,1315,2017-12-21,1.0,Approved,OHM Cycles,Road,high,large,12.01,7.21,36334.0,4.8
197,45,591,2017-05-23,1.0,Approved,Solex,Standard,medium,medium,441.49,84.99,34071.0,356.5
198,74,1017,2017-02-02,0.0,Approved,WeareA2B,Standard,medium,medium,1762.96,950.52,41848.0,812.44
199,33,2123,2017-06-08,0.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,33888.0,144.26
200,57,2889,2017-04-15,1.0,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,34143.0,1630.25
201,0,3208,2017-09-05,1.0,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13,41064.0,133.38
202,23,2406,2017-02-26,1.0,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,39031.0,75.75
203,67,2041,2017-07-29,0.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,38647.0,167.20999999999998
204,81,1598,2017-07-03,1.0,Approved,Norco Bicycles,Standard,medium,small,586.45,521.94,33429.0,64.50999999999999
205,58,1842,2017-05-27,1.0,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4,42295.0,771.12
206,5,141,2017-05-05,0.0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,38573.0,451.6500000000001
207,94,1321,2017-09-09,0.0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,41434.0,641.64
208,51,183,2017-05-21,0.0,Approved,OHM Cycles,Standard,high,medium,2005.66,1203.4,41009.0,802.26
209,59,2591,2017-09-22,0.0,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,37626.0,155.6500000000001
210,63,3356,2017-04-12,1.0,Approved,Solex,Standard,medium,medium,1483.2,99.59,33879.0,1383.6100000000001
211,40,766,2017-05-07,1.0,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,38750.0,583.2700000000001
212,80,1596,2017-01-13,0.0,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,38647.0,872.8900000000001
213,82,520,2017-12-14,0.0,Approved,Norco Bicycles,Standard,high,medium,1148.64,689.18,42226.0,459.46000000000015
214,46,868,2017-03-22,1.0,Approved,Solex,Standard,low,medium,1289.85,74.51,41009.0,1215.34
215,78,2999,2017-09-30,0.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,42226.0,1055.82
216,72,352,2017-11-29,1.0,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,42710.0,90.09999999999997
217,75,1140,2017-06-09,0.0,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95,38193.0,1010.02
218,40,621,2017-04-21,0.0,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,37823.0,1295.43
219,2,3307,2017-11-13,0.0,Approved,Giant Bicycles,Road,low,small,590.26,525.33,40487.0,64.92999999999995
220,10,1502,2017-04-09,1.0,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,41345.0,1103.43
221,35,936,2017-05-08,0.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,42688.0,448.67999999999995
222,8,939,2017-07-08,1.0,Approved,Solex,Road,medium,small,1703.52,1516.13,40649.0,187.38999999999987
223,2,2698,2017-11-30,0.0,Approved,Giant Bicycles,Road,low,small,590.26,525.33,40487.0,64.92999999999995
224,69,579,2017-04-25,1.0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,33879.0,198.22000000000003
225,54,2036,2017-03-30,1.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,39915.0,1279.3999999999999
226,8,3077,2017-03-10,0.0,Approved,Solex,Road,medium,small,1703.52,1516.13,34079.0,187.38999999999987
227,86,369,2017-03-16,1.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,38482.0,110.56
228,13,821,2017-04-04,1.0,Approved,Solex,Standard,medium,medium,1163.89,589.27,41345.0,574.6200000000001
229,19,2687,2017-03-13,1.0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,40784.0,114.93
230,86,681,2017-12-23,1.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,41434.0,110.56
231,46,37,2017-08-12,1.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,36361.0,1544.6100000000001
232,30,3002,2017-08-04,0.0,Approved,Solex,Standard,high,medium,748.17,448.9,36361.0,299.27
233,92,396,2017-09-01,0.0,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,33259.0,1630.25
234,71,550,2017-09-01,1.0,Approved,Solex,Standard,high,large,1842.92,1105.75,34996.0,737.1700000000001
235,77,1605,2017-07-02,0.0,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,40553.0,445.2099999999999
236,7,2325,2017-08-31,1.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,37698.0,144.26
237,23,1420,2017-03-11,1.0,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,34244.0,75.75
238,12,3099,2017-10-08,0.0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,34586.0,1069.5500000000002
